title, link, level, finished_count, acceptance_rate
문자열 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181952,Lv.0,6,637명,64%
a와 b 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181951,Lv.0,5,431명,75%
문자열 반복해서 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181950,Lv.0,4,810명,83%
대소문자 바꿔서 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181949,Lv.0,3,677명,71%
특수문자 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181948,Lv.0,3,516명,79%
덧셈식 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181947,Lv.0,3,972명,88%
문자열 붙여서 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181946,Lv.0,3,935명,89%
문자열 돌리기,https://school.programmers.co.kr/learn/courses/30/lessons/181945,Lv.0,3,394명,86%
홀짝 구분하기,https://school.programmers.co.kr/learn/courses/30/lessons/181944,Lv.0,3,825명,88%
문자열 겹쳐쓰기,https://school.programmers.co.kr/learn/courses/30/lessons/181943,Lv.0,2,649명,74%
문자열 섞기,https://school.programmers.co.kr/learn/courses/30/lessons/181942,Lv.0,2,613명,87%
문자 리스트를 문자열로 변환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181941,Lv.0,3,780명,89%
문자열 곱하기,https://school.programmers.co.kr/learn/courses/30/lessons/181940,Lv.0,4,011명,89%
더 크게 합치기,https://school.programmers.co.kr/learn/courses/30/lessons/181939,Lv.0,2,793명,88%
두 수의 연산값 비교하기,https://school.programmers.co.kr/learn/courses/30/lessons/181938,Lv.0,2,493명,83%
n의 배수,https://school.programmers.co.kr/learn/courses/30/lessons/181937,Lv.0,4,840명,89%
공배수,https://school.programmers.co.kr/learn/courses/30/lessons/181936,Lv.0,4,118명,89%
홀짝에 따라 다른 값 반환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181935,Lv.0,2,549명,88%
조건 문자열,https://school.programmers.co.kr/learn/courses/30/lessons/181934,Lv.0,1,886명,75%
flag에 따라 다른 값 반환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181933,Lv.0,4,225명,89%
코드 처리하기,https://school.programmers.co.kr/learn/courses/30/lessons/181932,Lv.0,1,445명,62%
등차수열의 특정한 항만 더하기,https://school.programmers.co.kr/learn/courses/30/lessons/181931,Lv.0,1,593명,84%
주사위 게임 2,https://school.programmers.co.kr/learn/courses/30/lessons/181930,Lv.0,1,741명,85%
원소들의 곱과 합,https://school.programmers.co.kr/learn/courses/30/lessons/181929,Lv.0,2,685명,89%
이어 붙인 수,https://school.programmers.co.kr/learn/courses/30/lessons/181928,Lv.0,2,149명,89%
마지막 두 원소,https://school.programmers.co.kr/learn/courses/30/lessons/181927,Lv.0,1,840명,88%
수 조작하기 1,https://school.programmers.co.kr/learn/courses/30/lessons/181926,Lv.0,2,161명,89%
수 조작하기 2,https://school.programmers.co.kr/learn/courses/30/lessons/181925,Lv.0,1,310명,82%
수열과 구간 쿼리 3,https://school.programmers.co.kr/learn/courses/30/lessons/181924,Lv.0,1,206명,81%
수열과 구간 쿼리 2,https://school.programmers.co.kr/learn/courses/30/lessons/181923,Lv.0,996명,74%
수열과 구간 쿼리 4,https://school.programmers.co.kr/learn/courses/30/lessons/181922,Lv.0,897명,77%
배열 만들기 2,https://school.programmers.co.kr/learn/courses/30/lessons/181921,Lv.0,932명,65%
카운트 업,https://school.programmers.co.kr/learn/courses/30/lessons/181920,Lv.0,2,628명,89%
콜라츠 수열 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/181919,Lv.0,1,185명,85%
배열 만들기 4,https://school.programmers.co.kr/learn/courses/30/lessons/181918,Lv.0,828명,74%
간단한 논리 연산,https://school.programmers.co.kr/learn/courses/30/lessons/181917,Lv.0,1,043명,82%
주사위 게임 3,https://school.programmers.co.kr/learn/courses/30/lessons/181916,Lv.0,783명,52%
글자 이어 붙여 문자열 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/181915,Lv.0,1,640명,89%
9로 나눈 나머지,https://school.programmers.co.kr/learn/courses/30/lessons/181914,Lv.0,1,241명,85%
문자열 여러 번 뒤집기,https://school.programmers.co.kr/learn/courses/30/lessons/181913,Lv.0,771명,70%
배열 만들기 5,https://school.programmers.co.kr/learn/courses/30/lessons/181912,Lv.0,842명,81%
부분 문자열 이어 붙여 문자열 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/181911,Lv.0,1,105명,88%
문자열의 뒤의 n글자,https://school.programmers.co.kr/learn/courses/30/lessons/181910,Lv.0,2,880명,89%
접미사 배열,https://school.programmers.co.kr/learn/courses/30/lessons/181909,Lv.0,1,046명,87%
접미사인지 확인하기,https://school.programmers.co.kr/learn/courses/30/lessons/181908,Lv.0,1,174명,87%
문자열의 앞의 n글자,https://school.programmers.co.kr/learn/courses/30/lessons/181907,Lv.0,2,984명,89%
접두사인지 확인하기,https://school.programmers.co.kr/learn/courses/30/lessons/181906,Lv.0,1,357명,88%
문자열 뒤집기,https://school.programmers.co.kr/learn/courses/30/lessons/181905,Lv.0,878명,81%
세로 읽기,https://school.programmers.co.kr/learn/courses/30/lessons/181904,Lv.0,858명,81%
qr code,https://school.programmers.co.kr/learn/courses/30/lessons/181903,Lv.0,833명,75%
문자 개수 세기,https://school.programmers.co.kr/learn/courses/30/lessons/181902,Lv.0,725명,75%
배열 만들기 1,https://school.programmers.co.kr/learn/courses/30/lessons/181901,Lv.0,1,680명,89%
글자 지우기,https://school.programmers.co.kr/learn/courses/30/lessons/181900,Lv.0,766명,79%
카운트 다운,https://school.programmers.co.kr/learn/courses/30/lessons/181899,Lv.0,2,027명,89%
가까운 1 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/181898,Lv.0,911명,85%
리스트 자르기,https://school.programmers.co.kr/learn/courses/30/lessons/181897,Lv.0,664명,76%
첫 번째로 나오는 음수,https://school.programmers.co.kr/learn/courses/30/lessons/181896,Lv.0,1,914명,89%
배열 만들기 3,https://school.programmers.co.kr/learn/courses/30/lessons/181895,Lv.0,832명,84%
2의 영역,https://school.programmers.co.kr/learn/courses/30/lessons/181894,Lv.0,688명,75%
배열 조각하기,https://school.programmers.co.kr/learn/courses/30/lessons/181893,Lv.0,899명,48%
n 번째 원소부터,https://school.programmers.co.kr/learn/courses/30/lessons/181892,Lv.0,1,949명,89%
순서 바꾸기,https://school.programmers.co.kr/learn/courses/30/lessons/181891,Lv.0,903명,85%
왼쪽 오른쪽,https://school.programmers.co.kr/learn/courses/30/lessons/181890,Lv.0,589명,70%
n 번째 원소까지,https://school.programmers.co.kr/learn/courses/30/lessons/181889,Lv.0,2,565명,89%
n개 간격의 원소들,https://school.programmers.co.kr/learn/courses/30/lessons/181888,Lv.0,1,302명,89%
홀수 vs 짝수,https://school.programmers.co.kr/learn/courses/30/lessons/181887,Lv.0,1,233명,88%
5명씩,https://school.programmers.co.kr/learn/courses/30/lessons/181886,Lv.0,1,004명,86%
할 일 목록,https://school.programmers.co.kr/learn/courses/30/lessons/181885,Lv.0,967명,85%
n보다 커질 때까지 더하기,https://school.programmers.co.kr/learn/courses/30/lessons/181884,Lv.0,1,978명,89%
수열과 구간 쿼리 1,https://school.programmers.co.kr/learn/courses/30/lessons/181883,Lv.0,669명,81%
조건에 맞게 수열 변환하기 1,https://school.programmers.co.kr/learn/courses/30/lessons/181882,Lv.0,1,383명,88%
조건에 맞게 수열 변환하기 2,https://school.programmers.co.kr/learn/courses/30/lessons/181881,Lv.0,544명,78%
1로 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/181880,Lv.0,769명,81%
길이에 따른 연산,https://school.programmers.co.kr/learn/courses/30/lessons/181879,Lv.0,2,330명,89%
원하는 문자열 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/181878,Lv.0,1,459명,89%
대문자로 바꾸기,https://school.programmers.co.kr/learn/courses/30/lessons/181877,Lv.0,3,376명,89%
소문자로 바꾸기,https://school.programmers.co.kr/learn/courses/30/lessons/181876,Lv.0,3,287명,89%
배열에서 문자열 대소문자 변환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181875,Lv.0,1,417명,89%
A 강조하기,https://school.programmers.co.kr/learn/courses/30/lessons/181874,Lv.0,1,149명,87%
특정한 문자를 대문자로 바꾸기,https://school.programmers.co.kr/learn/courses/30/lessons/181873,Lv.0,1,491명,88%
특정 문자열로 끝나는 가장 긴 부분 문자열 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/181872,Lv.0,618명,80%
문자열이 몇 번 등장하는지 세기,https://school.programmers.co.kr/learn/courses/30/lessons/181871,Lv.0,658명,78%
ad 제거하기,https://school.programmers.co.kr/learn/courses/30/lessons/181870,Lv.0,911명,86%
공백으로 구분하기 1,https://school.programmers.co.kr/learn/courses/30/lessons/181869,Lv.0,2,203명,89%
공백으로 구분하기 2,https://school.programmers.co.kr/learn/courses/30/lessons/181868,Lv.0,979명,88%
x 사이의 개수,https://school.programmers.co.kr/learn/courses/30/lessons/181867,Lv.0,782명,85%
문자열 잘라서 정렬하기,https://school.programmers.co.kr/learn/courses/30/lessons/181866,Lv.0,707명,83%
간단한 식 계산하기,https://school.programmers.co.kr/learn/courses/30/lessons/181865,Lv.0,933명,85%
문자열 바꿔서 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/181864,Lv.0,1,200명,88%
rny_string,https://school.programmers.co.kr/learn/courses/30/lessons/181863,Lv.0,1,759명,89%
세 개의 구분자,https://school.programmers.co.kr/learn/courses/30/lessons/181862,Lv.0,597명,79%
배열의 원소만큼 추가하기,https://school.programmers.co.kr/learn/courses/30/lessons/181861,Lv.0,1,071명,88%
빈 배열에 추가, 삭제하기,https://school.programmers.co.kr/learn/courses/30/lessons/181860,Lv.0,597명,78%
배열 만들기 6,https://school.programmers.co.kr/learn/courses/30/lessons/181859,Lv.0,514명,67%
무작위로 K개의 수 뽑기,https://school.programmers.co.kr/learn/courses/30/lessons/181858,Lv.0,511명,69%
배열의 길이를 2의 거듭제곱으로 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/181857,Lv.0,507명,75%
배열 비교하기,https://school.programmers.co.kr/learn/courses/30/lessons/181856,Lv.0,908명,86%
문자열 묶기,https://school.programmers.co.kr/learn/courses/30/lessons/181855,Lv.0,574명,78%
배열의 길이에 따라 다른 연산하기,https://school.programmers.co.kr/learn/courses/30/lessons/181854,Lv.0,1,179명,87%
뒤에서 5등까지,https://school.programmers.co.kr/learn/courses/30/lessons/181853,Lv.0,1,237명,89%
뒤에서 5등 위로,https://school.programmers.co.kr/learn/courses/30/lessons/181852,Lv.0,1,542명,89%
전국 대회 선발 고사,https://school.programmers.co.kr/learn/courses/30/lessons/181851,Lv.0,532명,66%
정수 부분,https://school.programmers.co.kr/learn/courses/30/lessons/181850,Lv.0,3,662명,89%
문자열 정수의 합,https://school.programmers.co.kr/learn/courses/30/lessons/181849,Lv.0,1,996명,89%
문자열을 정수로 변환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181848,Lv.0,3,559명,90%
0 떼기,https://school.programmers.co.kr/learn/courses/30/lessons/181847,Lv.0,903명,87%
두 수의 합,https://school.programmers.co.kr/learn/courses/30/lessons/181846,Lv.0,615명,73%
문자열로 변환,https://school.programmers.co.kr/learn/courses/30/lessons/181845,Lv.0,3,418명,89%
배열의 원소 삭제하기,https://school.programmers.co.kr/learn/courses/30/lessons/181844,Lv.0,805명,85%
부분 문자열인지 확인하기,https://school.programmers.co.kr/learn/courses/30/lessons/181843,Lv.0,1,876명,89%
부분 문자열,https://school.programmers.co.kr/learn/courses/30/lessons/181842,Lv.0,1,641명,89%
꼬리 문자열,https://school.programmers.co.kr/learn/courses/30/lessons/181841,Lv.0,1,092명,88%
정수 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/181840,Lv.0,2,378명,89%
주사위 게임 1,https://school.programmers.co.kr/learn/courses/30/lessons/181839,Lv.0,1,706명,89%
날짜 비교하기,https://school.programmers.co.kr/learn/courses/30/lessons/181838,Lv.0,614명,79%
커피 심부름,https://school.programmers.co.kr/learn/courses/30/lessons/181837,Lv.0,762명,75%
그림 확대,https://school.programmers.co.kr/learn/courses/30/lessons/181836,Lv.0,488명,69%
조건에 맞게 수열 변환하기 3,https://school.programmers.co.kr/learn/courses/30/lessons/181835,Lv.0,2,292명,89%
l로 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/181834,Lv.0,864명,86%
특별한 이차원 배열 1,https://school.programmers.co.kr/learn/courses/30/lessons/181833,Lv.0,751명,83%
정수를 나선형으로 배치하기,https://school.programmers.co.kr/learn/courses/30/lessons/181832,Lv.0,499명,44%
특별한 이차원 배열 2,https://school.programmers.co.kr/learn/courses/30/lessons/181831,Lv.0,748명,85%
정사각형으로 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/181830,Lv.0,468명,70%
이차원 배열 대각선 순회하기,https://school.programmers.co.kr/learn/courses/30/lessons/181829,Lv.0,555명,79%
요격 시스템,https://school.programmers.co.kr/learn/courses/30/lessons/181188,Lv.2,1,931명,33%
두 원 사이의 정수 쌍,https://school.programmers.co.kr/learn/courses/30/lessons/181187,Lv.2,1,067명,34%
아방가르드 타일링,https://school.programmers.co.kr/learn/courses/30/lessons/181186,Lv.3,142명,6%
달리기 경주,https://school.programmers.co.kr/learn/courses/30/lessons/178871,Lv.1,4,163명,39%
연속된 부분 수열의 합,https://school.programmers.co.kr/learn/courses/30/lessons/178870,Lv.2,2,321명,48%
추억 점수,https://school.programmers.co.kr/learn/courses/30/lessons/176963,Lv.1,5,939명,63%
과제 진행하기,https://school.programmers.co.kr/learn/courses/30/lessons/176962,Lv.2,1,446명,32%
공원 산책,https://school.programmers.co.kr/learn/courses/30/lessons/172928,Lv.1,3,256명,34%
광물 캐기,https://school.programmers.co.kr/learn/courses/30/lessons/172927,Lv.2,1,659명,37%
리코쳇 로봇,https://school.programmers.co.kr/learn/courses/30/lessons/169199,Lv.2,1,353명,35%
당구 연습,https://school.programmers.co.kr/learn/courses/30/lessons/169198,Lv.2,908명,17%
조건에 부합하는 중고거래 댓글 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/164673,Lv.1,4,525명,56%
조건에 부합하는 중고거래 상태 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/164672,Lv.2,2,733명,71%
조회수가 가장 많은 중고거래 게시판의 첨부파일 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/164671,Lv.3,1,877명,64%
조건에 맞는 사용자 정보 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/164670,Lv.3,1,827명,73%
조건에 맞는 사용자와 총 거래금액 조회하기,https://school.programmers.co.kr/learn/courses/30/lessons/164668,Lv.3,2,398명,81%
바탕화면 정리,https://school.programmers.co.kr/learn/courses/30/lessons/161990,Lv.1,4,298명,38%
덧칠하기,https://school.programmers.co.kr/learn/courses/30/lessons/161989,Lv.1,4,734명,57%
연속 펄스 부분 수열의 합,https://school.programmers.co.kr/learn/courses/30/lessons/161988,Lv.3,1,285명,38%
대충 만든 자판,https://school.programmers.co.kr/learn/courses/30/lessons/160586,Lv.1,4,005명,47%
혼자서 하는 틱택토,https://school.programmers.co.kr/learn/courses/30/lessons/160585,Lv.2,1,606명,33%
카드 뭉치,https://school.programmers.co.kr/learn/courses/30/lessons/159994,Lv.1,5,544명,59%
미로 탈출,https://school.programmers.co.kr/learn/courses/30/lessons/159993,Lv.2,2,194명,39%
특정 옵션이 포함된 자동차 리스트 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/157343,Lv.1,4,902명,71%
자동차 평균 대여 기간 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/157342,Lv.2,3,482명,67%
대여 기록이 존재하는 자동차 리스트 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/157341,Lv.3,2,737명,78%
자동차 대여 기록에서 대여중 / 대여 가능 여부 구분하기,https://school.programmers.co.kr/learn/courses/30/lessons/157340,Lv.3,3,282명,69%
특정 기간동안 대여 가능한 자동차들의 대여비용 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/157339,Lv.4,1,702명,36%
둘만의 암호,https://school.programmers.co.kr/learn/courses/30/lessons/155652,Lv.1,5,379명,47%
호텔 대실,https://school.programmers.co.kr/learn/courses/30/lessons/155651,Lv.2,2,876명,42%
무인도 여행,https://school.programmers.co.kr/learn/courses/30/lessons/154540,Lv.2,2,845명,46%
뒤에 있는 큰 수 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/154539,Lv.2,3,513명,54%
숫자 변환하기,https://school.programmers.co.kr/learn/courses/30/lessons/154538,Lv.2,2,894명,52%
시소 짝꿍,https://school.programmers.co.kr/learn/courses/30/lessons/152996,Lv.2,1,837명,39%
인사고과,https://school.programmers.co.kr/learn/courses/30/lessons/152995,Lv.3,1,370명,33%
자동차 대여 기록 별 대여 금액 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/151141,Lv.4,1,448명,35%
대여 횟수가 많은 자동차들의 월별 대여 횟수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/151139,Lv.3,3,117명,64%
자동차 대여 기록에서 장기/단기 대여 구분하기,https://school.programmers.co.kr/learn/courses/30/lessons/151138,Lv.1,4,520명,66%
자동차 종류 별 특정 옵션이 포함된 자동차 수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/151137,Lv.2,4,884명,84%
평균 일일 대여 요금 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/151136,Lv.1,7,957명,79%
개인정보 수집 유효기간,https://school.programmers.co.kr/learn/courses/30/lessons/150370,Lv.1,7,659명,39%
택배 배달과 수거하기,https://school.programmers.co.kr/learn/courses/30/lessons/150369,Lv.2,2,661명,29%
이모티콘 할인행사,https://school.programmers.co.kr/learn/courses/30/lessons/150368,Lv.2,2,510명,32%
표현 가능한 이진트리,https://school.programmers.co.kr/learn/courses/30/lessons/150367,Lv.3,1,314명,27%
표 병합,https://school.programmers.co.kr/learn/courses/30/lessons/150366,Lv.3,744명,22%
미로 탈출 명령어,https://school.programmers.co.kr/learn/courses/30/lessons/150365,Lv.3,1,041명,27%
1,2,3 떨어트리기,https://school.programmers.co.kr/learn/courses/30/lessons/150364,Lv.4,202명,4%
마법의 엘리베이터,https://school.programmers.co.kr/learn/courses/30/lessons/148653,Lv.2,2,666명,42%
유사 칸토어 비트열,https://school.programmers.co.kr/learn/courses/30/lessons/148652,Lv.2,723명,19%
크기가 작은 부분 문자열,https://school.programmers.co.kr/learn/courses/30/lessons/147355,Lv.1,10,121명,69%
테이블 해시 함수,https://school.programmers.co.kr/learn/courses/30/lessons/147354,Lv.2,1,806명,39%
저자 별 카테고리 별 매출액 집계하기,https://school.programmers.co.kr/learn/courses/30/lessons/144856,Lv.4,3,148명,68%
카테고리 별 도서 판매량 집계하기,https://school.programmers.co.kr/learn/courses/30/lessons/144855,Lv.3,4,938명,83%
조건에 맞는 도서와 저자 리스트 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/144854,Lv.2,7,402명,82%
조건에 맞는 도서 리스트 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/144853,Lv.1,7,610명,80%
가장 가까운 같은 글자,https://school.programmers.co.kr/learn/courses/30/lessons/142086,Lv.1,9,423명,65%
디펜스 게임,https://school.programmers.co.kr/learn/courses/30/lessons/142085,Lv.2,2,336명,36%
문자열 나누기,https://school.programmers.co.kr/learn/courses/30/lessons/140108,Lv.1,6,894명,51%
점 찍기,https://school.programmers.co.kr/learn/courses/30/lessons/140107,Lv.2,2,560명,43%
쌍둥이 빌딩 숲,https://school.programmers.co.kr/learn/courses/30/lessons/140105,Lv.4,129명,6%
명예의 전당 (1),https://school.programmers.co.kr/learn/courses/30/lessons/138477,Lv.1,7,101명,61%
귤 고르기,https://school.programmers.co.kr/learn/courses/30/lessons/138476,Lv.2,7,047명,64%
억억단을 외우자,https://school.programmers.co.kr/learn/courses/30/lessons/138475,Lv.3,637명,17%
기사단원의 무기,https://school.programmers.co.kr/learn/courses/30/lessons/136798,Lv.1,6,991명,56%
숫자 타자 대회,https://school.programmers.co.kr/learn/courses/30/lessons/136797,Lv.3,452명,13%
과일 장수,https://school.programmers.co.kr/learn/courses/30/lessons/135808,Lv.1,8,227명,60%
숫자 카드 나누기,https://school.programmers.co.kr/learn/courses/30/lessons/135807,Lv.2,2,445명,41%
푸드 파이트 대회,https://school.programmers.co.kr/learn/courses/30/lessons/134240,Lv.1,9,333명,65%
우박수열 정적분,https://school.programmers.co.kr/learn/courses/30/lessons/134239,Lv.2,1,601명,35%
햄버거 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/133502,Lv.1,7,083명,46%
